family,category,n,aal_completed,aal_barrier_escapes,aal_contained,escape_upper95,aal_false_blocks_or_aborts,false_block_upper95,admitted_as_expected,unexpectedly_contained,no_guard_escapes,simplex_escapes,reason_classes
missing_order,hazard,125,0,0,125,0.023680957510334832,,,,,125,125,"{""order:missing_or_invalid_mac"": 125}"
tampered_order,hazard,125,0,0,125,0.023680957510334832,,,,,125,125,"{""order:missing_or_invalid_mac"": 125}"
expired_or_future_order,hazard,125,0,0,125,0.023680957510334832,,,,,125,125,"{""order:outside_validity_interval"": 125}"
wrong_target_consistent_sensors,hazard,125,0,0,125,0.023680957510334832,,,,,125,125,"{""target:target_not_authorized_by_order"": 125}"
sensor_conflict,hazard,125,0,0,125,0.023680957510334832,,,,,125,125,"{""target:sensor_conflict"": 125}"
stale_evidence,hazard,125,0,0,125,0.023680957510334832,,,,,125,125,"{""target:evidence_stale"": 125}"
protocol_skip,hazard,125,0,0,125,0.023680957510334832,,,,,125,125,"{""protocol:step_not_satisfied"": 125}"
wrong_tool_or_calibration,hazard,125,0,0,125,0.023680957510334832,,,,,125,125,"{""tool:tool_uncalibrated"": 65, ""tool:wrong_tool"": 60}"
wrong_room,hazard,125,0,0,125,0.023680957510334832,,,,,125,125,"{""geometry:wrong_room"": 125}"
spatial_redirect,hazard,125,0,0,125,0.023680957510334832,,,,,125,125,"{""geometry:endpoint_not_at_sensed_target"": 125}"
spatial_frame_mismatch,hazard,125,0,0,125,0.023680957510334832,,,,,125,125,"{""geometry:endpoint_frame_mismatch"": 125}"
endpoint_mutation_after_issue,hazard,125,0,0,125,0.023680957510334832,,,,,125,125,"{""endpoint_outside_binding"": 125}"
token_replay,hazard,125,0,0,125,0.023680957510334832,,,,,125,125,"{""replayed_certificate"": 125}"
fresh_reissue_after_consumption,hazard,125,0,0,125,0.023680957510334832,,,,,125,125,"{""replay:authorization_instance_consumed"": 125}"
envelope_speed_excess,hazard,125,0,0,125,0.023680957510334832,,,,,125,125,"{""envelope_violation"": 125}"
envelope_force_excess,hazard,125,0,0,125,0.023680957510334832,,,,,125,125,"{""envelope_violation"": 125}"
runtime_target_substitution,hazard,125,0,0,125,0.023680957510334832,,,,,125,125,"{""abort:target_changed"": 125}"
runtime_workspace_intrusion,hazard,125,0,0,125,0.023680957510334832,,,,,125,0,"{""abort:workspace_intrusion"": 125}"
runtime_confidence_drop,hazard,125,0,0,125,0.023680957510334832,,,,,125,125,"{""abort:identity_confidence_dropped"": 125}"
runtime_evidence_staleness,hazard,125,0,0,125,0.023680957510334832,,,,,125,125,"{""revalidate:evidence_stale"": 125}"
nominal_handoff,benign,125,125,,,,0,0.023680957510334832,,,125,125,"{""complete"": 125}"
nominal_scan,benign,125,125,,,,0,0.023680957510334832,,,125,125,"{""complete"": 125}"
nominal_spatial_grasp,benign,125,125,,,,0,0.023680957510334832,,,125,125,"{""complete"": 125}"
nominal_navigate,benign,125,125,,,,0,0.023680957510334832,,,125,0,"{""complete"": 125}"
speed_force_at_boundary,benign,125,125,,,,0,0.023680957510334832,,,125,125,"{""complete"": 125}"
endpoint_inside_tolerance_boundary,benign,125,125,,,,0,0.023680957510334832,,,125,125,"{""complete"": 125}"
evidence_age_at_boundary,benign,125,125,,,,0,0.023680957510334832,,,125,125,"{""complete"": 125}"
order_validity_at_boundary,benign,125,125,,,,0,0.023680957510334832,,,125,125,"{""complete"": 125}"
reader_accepted_physical_spoof,residual_limitation,125,125,,,,,,125,0,125,125,"{""complete"": 125}"
same_identity_pose_drift_during_execution,residual_limitation,125,125,,,,,,125,0,125,125,"{""admitted"": 125}"
