outcome,mode,independent_rate,common_cause_rate,probability
hazard_escape,single_factor,0.001,0.0,0.001
hazard_escape,single_factor,0.001,0.0001,0.0010999
hazard_escape,single_factor,0.001,0.001,0.001999
hazard_escape,single_factor,0.001,0.01,0.01099
hazard_escape,single_factor,0.001,0.05,0.05095
hazard_escape,single_factor,0.005,0.0,0.005
hazard_escape,single_factor,0.005,0.0001,0.005099500000000001
hazard_escape,single_factor,0.005,0.001,0.005995
hazard_escape,single_factor,0.005,0.01,0.014950000000000001
hazard_escape,single_factor,0.005,0.05,0.05475
hazard_escape,single_factor,0.01,0.0,0.01
hazard_escape,single_factor,0.01,0.0001,0.010099
hazard_escape,single_factor,0.01,0.001,0.01099
hazard_escape,single_factor,0.01,0.01,0.0199
hazard_escape,single_factor,0.01,0.05,0.059500000000000004
hazard_escape,single_factor,0.05,0.0,0.05
hazard_escape,single_factor,0.05,0.0001,0.05009500000000001
hazard_escape,single_factor,0.05,0.001,0.05095
hazard_escape,single_factor,0.05,0.01,0.059500000000000004
hazard_escape,single_factor,0.05,0.05,0.0975
benign_completion,single_factor,0.01,0.0,0.99
benign_completion,single_factor,0.01,0.01,0.9801
benign_completion,single_factor,0.01,0.05,0.9405
benign_completion,single_factor,0.05,0.0,0.95
benign_completion,single_factor,0.05,0.01,0.9405
benign_completion,single_factor,0.05,0.05,0.9025
benign_completion,single_factor,0.1,0.0,0.9
benign_completion,single_factor,0.1,0.01,0.891
benign_completion,single_factor,0.1,0.05,0.855
benign_completion,single_factor,0.2,0.0,0.8
benign_completion,single_factor,0.2,0.01,0.792
benign_completion,single_factor,0.2,0.05,0.76
hazard_escape,two_distinct_factors,0.001,0.0,1e-06
hazard_escape,two_distinct_factors,0.001,0.0001,0.00010099990000000001
hazard_escape,two_distinct_factors,0.001,0.001,0.001000999
hazard_escape,two_distinct_factors,0.001,0.01,0.01000099
hazard_escape,two_distinct_factors,0.001,0.05,0.05000095
hazard_escape,two_distinct_factors,0.005,0.0,2.5e-05
hazard_escape,two_distinct_factors,0.005,0.0001,0.00012499750000000002
hazard_escape,two_distinct_factors,0.005,0.001,0.001024975
hazard_escape,two_distinct_factors,0.005,0.01,0.01002475
hazard_escape,two_distinct_factors,0.005,0.05,0.050023750000000006
hazard_escape,two_distinct_factors,0.01,0.0,0.0001
hazard_escape,two_distinct_factors,0.01,0.0001,0.00019999000000000001
hazard_escape,two_distinct_factors,0.01,0.001,0.0010999
hazard_escape,two_distinct_factors,0.01,0.01,0.010099
hazard_escape,two_distinct_factors,0.01,0.05,0.050095
hazard_escape,two_distinct_factors,0.05,0.0,0.0025000000000000005
hazard_escape,two_distinct_factors,0.05,0.0001,0.0025997500000000005
hazard_escape,two_distinct_factors,0.05,0.001,0.0034975000000000006
hazard_escape,two_distinct_factors,0.05,0.01,0.012475
hazard_escape,two_distinct_factors,0.05,0.05,0.052375000000000005
benign_completion,two_distinct_factors,0.01,0.0,0.9801
benign_completion,two_distinct_factors,0.01,0.01,0.9702989999999999
benign_completion,two_distinct_factors,0.01,0.05,0.9310949999999999
benign_completion,two_distinct_factors,0.05,0.0,0.9025
benign_completion,two_distinct_factors,0.05,0.01,0.8934749999999999
benign_completion,two_distinct_factors,0.05,0.05,0.8573749999999999
benign_completion,two_distinct_factors,0.1,0.0,0.81
benign_completion,two_distinct_factors,0.1,0.01,0.8019000000000001
benign_completion,two_distinct_factors,0.1,0.05,0.7695
benign_completion,two_distinct_factors,0.2,0.0,0.6400000000000001
benign_completion,two_distinct_factors,0.2,0.01,0.6336000000000002
benign_completion,two_distinct_factors,0.2,0.05,0.6080000000000001
